timestamp,curtail_pv,curtail_load
2017-05-26 00:00:00+02:00,0,0
2017-05-26 00:01:00+02:00,0,0
2017-05-26 00:02:00+02:00,0,0
2017-05-26 00:03:00+02:00,0,0
2017-05-26 00:04:00+02:00,0,0
2017-05-26 00:05:00+02:00,0,0
2017-05-26 00:06:00+02:00,0,0
2017-05-26 00:07:00+02:00,0,0
2017-05-26 00:08:00+02:00,0,0
2017-05-26 00:09:00+02:00,0,0
2017-05-26 00:10:00+02:00,0,0
2017-05-26 00:11:00+02:00,0,0
2017-05-26 00:12:00+02:00,0,0
2017-05-26 00:13:00+02:00,0,0
2017-05-26 00:14:00+02:00,0,0
2017-05-26 00:15:00+02:00,0,0
2017-05-26 00:16:00+02:00,0,0
2017-05-26 00:17:00+02:00,0,0
2017-05-26 00:18:00+02:00,0,0
2017-05-26 00:19:00+02:00,0,0
2017-05-26 00:20:00+02:00,0,0
2017-05-26 00:21:00+02:00,0,0
2017-05-26 00:22:00+02:00,0,0
2017-05-26 00:23:00+02:00,0,0
2017-05-26 00:24:00+02:00,0,0
2017-05-26 00:25:00+02:00,0,0
2017-05-26 00:26:00+02:00,0,0
2017-05-26 00:27:00+02:00,0,0
2017-05-26 00:28:00+02:00,0,0
2017-05-26 00:29:00+02:00,0,0
2017-05-26 00:30:00+02:00,0,0
2017-05-26 00:31:00+02:00,0,0
2017-05-26 00:32:00+02:00,0,0
2017-05-26 00:33:00+02:00,0,0
2017-05-26 00:34:00+02:00,0,0
2017-05-26 00:35:00+02:00,0,0
2017-05-26 00:36:00+02:00,0,0
2017-05-26 00:37:00+02:00,0,0
2017-05-26 00:38:00+02:00,0,0
2017-05-26 00:39:00+02:00,0,0
2017-05-26 00:40:00+02:00,0,0
2017-05-26 00:41:00+02:00,0,0
2017-05-26 00:42:00+02:00,0,0
2017-05-26 00:43:00+02:00,0,0
2017-05-26 00:44:00+02:00,0,0
2017-05-26 00:45:00+02:00,0,0
2017-05-26 00:46:00+02:00,0,0
2017-05-26 00:47:00+02:00,0,0
2017-05-26 00:48:00+02:00,0,0
2017-05-26 00:49:00+02:00,0,0
2017-05-26 00:50:00+02:00,0,0
2017-05-26 00:51:00+02:00,0,0
2017-05-26 00:52:00+02:00,0,0
2017-05-26 00:53:00+02:00,0,0
2017-05-26 00:54:00+02:00,0,0
2017-05-26 00:55:00+02:00,0,0
2017-05-26 00:56:00+02:00,0,0
2017-05-26 00:57:00+02:00,0,0
2017-05-26 00:58:00+02:00,0,0
2017-05-26 00:59:00+02:00,0,0
2017-05-26 01:00:00+02:00,0,0
2017-05-26 01:01:00+02:00,0,0
2017-05-26 01:02:00+02:00,0,0
2017-05-26 01:03:00+02:00,0,0
2017-05-26 01:04:00+02:00,0,0
2017-05-26 01:05:00+02:00,0,0
2017-05-26 01:06:00+02:00,0,0
2017-05-26 01:07:00+02:00,0,0
2017-05-26 01:08:00+02:00,0,0
2017-05-26 01:09:00+02:00,0,0
2017-05-26 01:10:00+02:00,0,0
2017-05-26 01:11:00+02:00,0,0
2017-05-26 01:12:00+02:00,0,0
2017-05-26 01:13:00+02:00,0,0
2017-05-26 01:14:00+02:00,0,0
2017-05-26 01:15:00+02:00,0,0
2017-05-26 01:16:00+02:00,0,0
2017-05-26 01:17:00+02:00,0,0
2017-05-26 01:18:00+02:00,0,0
2017-05-26 01:19:00+02:00,0,0
2017-05-26 01:20:00+02:00,0,0
2017-05-26 01:21:00+02:00,0,0
2017-05-26 01:22:00+02:00,0,0
2017-05-26 01:23:00+02:00,0,0
